Run,N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time
384,1000,100,16,1.755219354s,704.789612ms,673.846865ms
385,1000,100,16,1.708476485s,692.923097ms,713.513792ms
386,1000,100,16,1.727966458s,625.09186ms,665.406126ms
387,1000,100,16,1.729289781s,721.647905ms,667.415044ms
388,1000,100,16,1.767577751s,690.954887ms,642.588674ms
389,1000,100,16,1.777490003s,756.808284ms,610.048227ms
390,1000,100,16,1.72104024s,630.140409ms,602.022142ms
391,1000,100,16,1.714734603s,636.290708ms,634.294263ms
392,1000,100,16,1.743981694s,648.357167ms,670.683512ms
393,1000,100,16,1.729555934s,637.669779ms,698.137801ms
394,1000,100,16,1.736285007s,727.50136ms,634.739541ms
395,1000,100,16,1.715796814s,650.649804ms,656.042153ms
396,1000,100,16,1.723548566s,701.892841ms,684.750047ms
397,1000,100,16,1.71131308s,699.375631ms,639.81555ms
398,1000,100,16,1.706639399s,646.201836ms,684.348704ms
399,1000,100,16,1.71602226s,645.00417ms,762.919828ms
400,1000,100,16,1.693469209s,740.497135ms,647.216372ms
401,1000,200,2,1.76426977s,943.094998ms,973.010399ms
402,1000,200,2,1.726019914s,945.423321ms,1.026022281s
403,1000,200,2,1.710468828s,947.32133ms,993.951994ms
404,1000,200,2,1.709482242s,928.178377ms,1.009887742s
405,1000,200,2,1.846074688s,955.087705ms,979.629134ms
406,1000,200,2,1.791011459s,996.965516ms,968.272572ms
407,1000,200,2,1.814083155s,972.881487ms,944.486076ms
408,1000,200,2,1.854614761s,944.038273ms,1.05012984s
409,1000,200,2,1.753314392s,950.421296ms,1.010422846s
410,1000,200,2,1.750668267s,939.167387ms,970.836286ms
411,1000,200,2,1.776776325s,996.057436ms,1.033206969s
412,1000,200,2,1.752504153s,917.560783ms,974.464026ms
413,1000,200,2,1.727717174s,923.232805ms,963.965066ms
414,1000,200,2,1.716172552s,921.739741ms,994.881378ms
415,1000,200,2,1.711792345s,929.574864ms,961.864934ms
416,1000,200,2,1.714742503s,923.782029ms,965.673734ms
417,1000,200,2,1.755441527s,936.274786ms,1.011531088s
418,1000,200,2,1.747890085s,927.943632ms,941.399705ms
419,1000,200,2,1.846822597s,970.802192ms,933.140373ms
420,1000,200,2,1.860740923s,913.035949ms,920.370553ms
421,1000,200,2,1.743580591s,963.196829ms,931.82298ms
422,1000,200,2,1.768537651s,944.728314ms,925.197408ms
423,1000,200,2,1.765619226s,935.960548ms,934.524081ms
424,1000,200,2,1.799521922s,941.917246ms,941.667637ms
425,1000,200,2,1.741274983s,916.033912ms,942.90106ms
426,1000,200,2,1.736542617s,934.010547ms,920.462027ms
427,1000,200,2,1.743469747s,965.424382ms,923.72441ms
428,1000,200,2,1.723481847s,930.141234ms,963.708783ms
429,1000,200,2,1.712111691s,957.735316ms,953.032735ms
430,1000,200,2,1.71494774s,932.53543ms,940.780705ms
431,1000,200,2,1.718948673s,953.239757ms,934.545746ms
432,1000,200,2,1.702692667s,965.47649ms,930.121494ms
433,1000,200,2,1.732800909s,938.333563ms,936.983782ms
434,1000,200,2,1.755219354s,955.871529ms,941.273524ms
435,1000,200,2,1.708476485s,949.000765ms,954.329077ms
436,1000,200,2,1.727966458s,944.202952ms,977.144869ms
437,1000,200,2,1.729289781s,946.634511ms,933.282965ms
438,1000,200,2,1.767577751s,920.292015ms,952.751352ms
439,1000,200,2,1.777490003s,932.172303ms,947.297924ms
440,1000,200,2,1.72104024s,905.932149ms,1.012150942s
441,1000,200,2,1.714734603s,919.889018ms,938.929405ms
442,1000,200,2,1.743981694s,936.720408ms,926.261879ms
443,1000,200,2,1.729555934s,949.668379ms,929.534233ms
444,1000,200,2,1.736285007s,950.521541ms,934.886228ms
445,1000,200,2,1.715796814s,944.638818ms,959.074985ms
446,1000,200,2,1.723548566s,905.437785ms,928.097907ms
447,1000,200,2,1.71131308s,967.80435ms,948.577852ms
448,1000,200,2,1.706639399s,997.43961ms,935.879944ms
449,1000,200,2,1.71602226s,911.382902ms,929.417722ms
450,1000,200,2,1.693469209s,961.811492ms,921.526698ms
451,1000,200,4,1.76426977s,851.503869ms,830.712569ms
452,1000,200,4,1.726019914s,793.115059ms,796.536681ms
453,1000,200,4,1.710468828s,787.980461ms,813.187516ms
454,1000,200,4,1.709482242s,791.02592ms,797.746137ms
455,1000,200,4,1.846074688s,798.503936ms,807.619267ms
456,1000,200,4,1.791011459s,801.207753ms,820.141503ms
457,1000,200,4,1.814083155s,807.545683ms,841.837975ms
458,1000,200,4,1.854614761s,800.390101ms,796.326945ms
459,1000,200,4,1.753314392s,794.622429ms,818.262739ms
460,1000,200,4,1.750668267s,821.885026ms,833.686906ms
461,1000,200,4,1.776776325s,787.395261ms,810.255662ms
